comment	rating
Внушительный здание,  понравился огороженый фонтан,  скамейка с номером, газон и лавочки. Но хотелось бы увидеть какой то интерактив, все таки РАН. Что бы было интересно детям и уже было вовлечение в науку.	1
Красивое место летом. Яркая трава, ёлки, есть где посидеть	1
Очень красиво и уютно. Лучший ВУЗ Сибири.	1
Красивый и оригинальный с двумя куполами. Количество блоков 3+ректорат. 5 этажей 3 блоках+сокольный. В каждом блоке по 2 лифта. Есть 1 главная и несколько запасных выходов. Столовая, кофейная, туалеты и много удобств для студентов, …	1
В восторге! Мы попали в другое измерение образования. Не ожидала такого уровня!	1
Я здесь часто бываю по работе. Прилегающая территория всегда ухоженная, парков, зона отдыха. В корпусе идеальная чистота, атмосфера спокойная, благоприятная. Просто мечта для студента! И престиж!	1
Не смотря на посредственную архитектуру, внутри здание чистое и выглядит как какой-нибудь топовый зарубежный университет. В целом сотруднику дружелюбны, максимум у парочки охранником синдром вахтёрши, что, наверное, к лучшему.	1
Шикарное здание. Красивые аудитории.	1
Странная арзитекрное решение. Достаточно странный дизайн внутреннего двора. Всё можно было сделать намного лучше P.S. Огражденный фантанчик это мега креативно, но очень странно.	0
отличное место, чтоб попарить в туалете. рекомендую. охранники крутые и пропускают кого попало. пользуйтесь, ребят.	1
День был прожит не зря!!! Я сегодня первый раз побыввла в Новосибирском государственном университете. Храм НАУКИ!!! …	1
Помимо странной архитектуры самого здания я не понимаю почему фонтан за забором, а рядом с ними стоит непонятная ржавая коробка, которая портит вид.	0
Отличное место! Флагман науки	1
Я там работаю, мне нравится. Чисто, тепло, всё работает, удобно, стоянка всегда есть.	1
Очень красиво, но куда идти не всегда понятно (всегда непонятно)	1
Музей геологии отличный. Сводил детей - полгода вспоминали	1
Красивый корпус! Надеюсь его качество и уровень получаемого образования в нём, неменьшего уровня.  :)	1
Светлое, просторное здание, в котором приятно находиться. Очень рада за студентов и преподавателей!	1
Очень интересно, на втором этаже прямо вернисаж выставок и музеев.	1
понравились музеи эволюции Земли, минералов, палеонтологии, само здание нового корпуса университета впечатляет	1
Буду краткой, это одно из моих любимых мест на Земле.	1
Сходили в музей эволюции земли, очень понравилось!	1
Преоподователь Елена Архуиовна напала на меня с ножом!!!!!  Я ЕЁ СФОТКАЛ!!!!!!!!	1
Меня туда не взяли.. а так вроде вуз хороший	1
Крутой университет. Довольно высокий рейтинг.	1
Десять баллов, ребята, я лучше бы придумать не смог.	1
Замечательный корпус,  новый, всё очень организованно	1
Помещения просторные, но много косяков и непродуманность	1
Замок Саурона со среднеазиатскими мотивами. Кошмар какой-то.	0
А что отвечать: лекции я там читаю.	1
Внутри не был, снаружи очень хорошо	1
Учеба проходит за мгновение! Рекомендую)	1
Интересная архитектура,подсветка.	1
Отличное красивое здание.	1
Все очень понравилось!	1
Отличный учебный корпус, мне нравится!!!!!!	1
Красота! Круче, чем у МГУ	1
Очень красиво	1
Красивое место Академа	1
Долгие душные коридоры	1
Фото с экскурсии.	1
Отличное место!	1
Шикарное место!	1
Очень круто	1
Чудесно)))	1
Топ1 универ вообще!	1
Заходим погреться	1
Альма матер, всё же	1
Супер	1
Невероятное место!	1
Отличное место	1
Название: Жемчужина мирового уровня: Новосибирский государственный университет  Рейтинг: ⭐️⭐️⭐️⭐️⭐️ …	1
хороший	1
